,longitude,latitude,month,light,severity,participants,injured,dead,grid_square,safe
25145,37.575112,55.506857,09,1,0,2,1,0,"37.575112,55.506857",0
25146,37.44705,55.88219,05,0,0,3,1,0,"37.44705,55.88219",0
25147,37.653,55.855,05,0,0,3,1,0,"37.653,55.855",0
25148,37.514287,55.873644,05,1,0,2,1,0,"37.514287,55.873644",0
25149,37.423961,55.846193,12,0,0,2,1,0,"37.423961,55.846193",0
25150,37.398158,55.91665,08,0,1,2,1,0,"37.398158,55.91665",0
25151,37.872427,55.738624,06,0,0,2,1,0,"37.872427,55.738624",0
25152,37.60545,55.731847,05,0,0,2,1,0,"37.60545,55.731847",0
25153,37.749652,55.81983,10,1,1,2,1,0,"37.749652,55.81983",0
25154,37.587308,55.904353,06,0,0,3,1,0,"37.587308,55.904353",0
25155,37.597414,55.898326,08,0,0,2,1,0,"37.597414,55.898326",0
